timestamp,open,high,low,close,volume
2018-08-01,187.5000,188.7500,187.1300,188.0150,240933
2018-07-31,186.1500,187.3800,184.9700,186.1600,540615
2018-07-30,189.1500,189.1599,184.4700,185.6000,585671
2018-07-27,192.9800,192.9999,187.8100,188.9900,498841
2018-07-26,192.4900,193.4300,192.0894,192.7400,471406
2018-07-25,190.8700,193.5000,190.6550,193.4100,290642
2018-07-24,192.1100,192.8600,190.0700,190.6600,438643
2018-07-23,189.7900,191.1000,188.8300,190.9500,348442
2018-07-20,190.9600,191.2250,189.9400,190.2000,326933
2018-07-19,190.2000,190.9496,189.8900,190.3300,305349
2018-07-18,190.6600,190.7000,189.7200,190.5300,300404
2018-07-17,187.9300,190.9150,187.4400,190.6400,387809
2018-07-16,189.8100,190.0900,188.8100,189.1000,360575
2018-07-13,190.0500,190.2990,189.1300,189.7600,320138
2018-07-12,187.7000,190.0500,187.4097,190.0000,340558
2018-07-11,186.4600,187.7000,186.1101,186.8300,358971
2018-07-10,187.7400,188.4400,187.4400,187.8200,859863
2018-07-09,186.8600,187.4400,185.9000,187.4400,343395
2018-07-06,183.9200,186.1300,183.4100,185.8300,324234
2018-07-05,182.3700,183.7400,181.8000,183.6400,597241
2018-07-03,184.0000,184.1900,181.1486,181.2600,330352
2018-07-02,179.9900,183.3000,179.6650,183.3000,534730
2018-06-29,182.0200,183.0200,181.3500,181.4000,354516
2018-06-28,178.9700,181.8664,178.9700,181.2900,790920
2018-06-27,183.0800,183.8200,179.6700,179.7300,584851
2018-06-26,182.2200,183.7400,181.8410,182.5300,555750
2018-06-25,184.4900,184.4900,180.1000,181.5700,933858
2018-06-22,187.2700,187.2700,185.2500,185.8700,305782
2018-06-21,189.0800,189.3100,186.4550,186.8600,655747
2018-06-20,188.4800,189.3200,188.2500,188.5300,401920
2018-06-19,186.9100,188.0200,185.4700,188.0100,525348
2018-06-18,187.7500,189.4300,187.0100,189.3200,387707
2018-06-15,189.2300,189.2500,187.7500,189.0400,352007
2018-06-14,189.4500,190.4600,189.2769,189.7600,574450
2018-06-13,189.2300,190.4600,188.5200,188.7500,417106
2018-06-12,188.1900,189.2413,187.9700,189.1200,295397
2018-06-11,187.9200,188.4050,187.3500,187.8600,455178
2018-06-08,186.6700,188.1600,186.3050,187.8800,354891
2018-06-07,190.1300,190.1300,186.6401,187.8500,516866
2018-06-06,189.1100,190.0000,188.2700,190.0000,517855
2018-06-05,188.3600,189.0000,188.0200,188.9100,626920
2018-06-04,186.8300,188.0500,186.5850,187.8800,450229
2018-06-01,184.1600,186.3200,184.1600,186.3200,2113719
2018-05-31,183.2200,184.5000,182.8552,183.0100,367628
2018-05-30,182.8100,183.5500,182.4900,183.2000,367480
2018-05-29,182.0500,182.8700,180.6100,181.8600,369343
2018-05-25,182.6300,183.4500,182.4200,182.8900,317818
2018-05-24,182.9600,183.1850,180.9050,182.8500,291272
2018-05-23,180.1900,182.9800,180.0100,182.9800,316247
2018-05-22,182.8300,183.1100,181.2451,181.5800,264351
2018-05-21,182.2200,183.1600,181.1050,182.0100,360009
2018-05-18,180.9400,181.6000,180.5000,180.6000,279416
2018-05-17,181.5100,182.7630,180.4400,181.3000,326094
2018-05-16,181.4800,182.5500,181.0850,182.2000,329923
2018-05-15,181.6600,181.6700,180.2810,181.2500,672282
2018-05-14,183.6900,184.3996,182.5700,182.8400,782088
2018-05-11,183.3000,183.7600,182.4220,183.0700,396149
2018-05-10,182.0600,183.6810,181.8300,183.6000,577088
2018-05-09,179.5700,181.4700,179.0400,181.4400,504117
2018-05-08,178.1300,179.1500,177.4200,179.0900,638158
2018-05-07,177.6400,179.1400,177.3900,178.4100,749069
2018-05-04,172.8800,177.2200,172.7900,176.8800,506140
2018-05-03,172.4400,174.2100,170.7600,173.6100,383832
2018-05-02,174.0400,174.9507,172.8500,173.0700,390062
2018-05-01,170.5700,173.1600,170.1800,173.0200,368387
2018-04-30,172.0600,173.3141,170.4510,170.9600,509895
2018-04-27,174.0200,174.1400,170.7500,171.6400,386299
2018-04-26,171.2100,173.0290,170.6700,172.3700,342511
2018-04-25,169.5900,169.6600,166.8019,168.9400,569939
2018-04-24,173.2400,173.7650,167.9300,169.2100,640199
2018-04-23,173.9200,174.3800,171.6800,172.4700,373543
2018-04-20,175.2000,175.2800,172.5400,173.1900,824268
2018-04-19,176.6700,176.7000,175.0100,175.6500,380514
2018-04-18,177.9300,178.3400,176.4864,177.7400,399916
2018-04-17,175.9900,178.5743,175.6700,178.0400,479172
2018-04-16,174.3500,175.1500,173.2500,174.4200,343525
2018-04-13,174.9700,175.1700,172.4300,173.2200,474646
2018-04-12,172.8700,174.6900,172.6000,173.9100,303533
2018-04-11,171.4400,173.3390,170.9100,171.7700,389490
2018-04-10,171.0400,173.1800,170.2500,172.4800,627525
2018-04-09,168.4400,171.6700,168.2000,168.3400,413386
2018-04-06,169.5800,171.1399,166.3700,167.2000,493999
2018-04-05,172.1400,172.5750,170.1910,171.3400,425494
2018-04-04,165.0900,171.1300,164.6200,170.6200,581177
2018-04-03,168.2200,168.8300,165.7900,168.3900,644540
2018-04-02,170.2700,171.0650,164.9400,166.8800,954883
2018-03-29,168.6400,172.7200,167.4800,171.0000,567194
2018-03-28,168.6200,170.0000,166.4500,167.4200,849069
2018-03-27,176.2200,176.2500,167.8200,169.0900,991436
2018-03-26,171.9700,175.1900,169.6462,175.0300,557145
2018-03-23,172.9700,173.8500,168.6000,168.6300,806575
2018-03-22,175.7200,176.8600,173.1600,173.2500,660518
2018-03-21,178.4800,180.2500,177.4700,178.0300,490098
2018-03-20,178.1400,179.3866,177.7700,178.8100,404778
2018-03-19,180.6400,180.6400,177.0200,178.6300,748091
2018-03-16,182.7300,183.2900,181.9510,182.2100,312911
2018-03-15,182.8700,183.8256,181.9400,182.8000,388454
2018-03-14,183.5900,183.8100,181.8300,182.7600,495456
2018-03-13,185.8100,186.3600,182.1014,182.7200,835199
2018-03-12,184.9000,185.6350,184.2865,184.9600,778945
